"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
1.762118917E0;1.523454666E0;-1.233497381E0;5.779131055E-1
1.772098917E0;1.646003723E0;-1.114479065E0;4.714628160E-1
1.782108917E0;1.464320064E0;-7.270292044E-1;3.255936503E-1
1.792117917E0;1.029038072E0;-1.043832079E-1;1.246770769E-1
1.802097917E0;4.419370890E-1;4.284306765E-1;-1.710622758E-2
1.812106917E0;-2.621414140E-2;5.691113472E-1;-3.992392123E-2
1.822116917E0;-1.161886752E-1;4.897292554E-1;4.871624522E-3
1.832095917E0;1.442234665E-1;1.847397536E-1;4.817675427E-2
1.842105917E0;4.388056993E-1;1.330707669E-1;1.506773382E-1
1.852115917E0;4.643741548E-1;-1.157813892E-1;1.201287508E-1
1.862125917E0;6.426951885E-1;-2.076244205E-1;2.348882109E-1
1.872104917E0;8.802257180E-1;-4.394312799E-1;4.168585539E-1
1.882114917E0;1.191122651E0;-4.613020420E-1;5.448521972E-1
1.892118875E0;1.279938340E0;-3.467911780E-1;6.151026487E-1
1.902098875E0;1.180975318E0;5.885560438E-2;6.822472215E-1
1.912107875E0;8.820229173E-1;6.818408370E-1;6.346789002E-1
1.922117875E0;4.907191992E-1;1.043918967E0;4.257161021E-1
1.932127875E0;7.650552690E-2;1.188176513E0;2.460179627E-1
1.942106875E0;-4.024951756E-1;9.330231547E-1;1.807400584E-1
1.952116875E0;-9.483361840E-1;3.352351189E-1;1.855356097E-1
1.962126875E0;-1.473869920E0;-1.466007382E-1;4.098720253E-1
1.972105875E0;-1.737161994E0;-1.801682860E-1;7.900406718E-1
1.982115875E0;-1.627379656E0;-2.468971908E-2;1.118770003E0
1.992124875E0;-1.291536927E0;-9.891122580E-2;1.349699259E0
2.002104875E0;-1.148308754E0;-1.146297902E-1;1.329632759E0
2.012113875E0;-9.107903838E-1;9.254198074E-1;9.011776447E-1
2.022123875E0;-1.053394318E0;8.203172088E-1;6.546612978E-1
2.032133875E0;-1.520871997E0;-4.795045853E-1;8.116573095E-1
2.042112875E0;-1.161571860E0;2.857989073E-1;1.347532272E0
2.052122875E0;-1.495658755E-1;1.128628373E0;7.401243448E-1
