"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
2.468889153E2;5.111948689E1;7.405865819E0;3.017127484E2;2.410900965E-2;2.723775895E2;6.000906205E0;6.000906205E0
2.478889257E2;5.111948643E1;7.405866291E0;3.017324286E2;1.739821769E-2;2.751904254E2;6.000906205E0;6.000906205E0
2.488889372E2;5.111948650E1;7.405866031E0;3.017507388E2;1.296012662E-2;3.381576115E2;6.000906205E0;6.000906205E0
2.498889486E2;5.111948688E1;7.405866923E0;3.017489444E2;7.835957408E-2;3.474943435E2;6.000906205E0;6.000906205E0
2.508889589E2;5.111948695E1;7.405868122E0;3.017434640E2;1.726321317E-2;3.276255417E2;6.000906205E0;6.000906205E0
2.518889707E2;5.111948688E1;7.405868459E0;3.017487662E2;1.874393318E-3;3.386140320E2;6.000906205E0;6.000906205E0
2.528889815E2;5.111948721E1;7.405868701E0;3.017532789E2;5.392586812E-3;3.203435219E1;6.000906205E0;6.000906205E0
2.538889920E2;5.111948680E1;7.405870176E0;3.017456278E2;2.133771218E-2;8.750959942E1;6.000906205E0;6.000906205E0
2.548890023E2;5.111947958E1;7.405878967E0;3.017666431E2;2.133771218E-2;1.665303119E2;6.000906205E0;6.000906205E0
2.558890145E2;5.111946942E1;7.405883469E0;3.020360694E2;5.185167789E-1;1.559510865E2;6.000906205E0;6.000906205E0
2.568890254E2;5.111945879E1;7.405895524E0;3.023884271E2;5.864561200E-1;1.780784952E2;6.000906205E0;6.000906205E0
2.578890364E2;5.111945403E1;7.405906048E0;3.028119197E2;5.185167789E-1;1.519082839E2;6.000906205E0;6.000906205E0
2.588890474E2;5.111945421E1;7.405917333E0;3.030613063E2;4.452915490E-1;1.416011596E2;6.000906205E0;6.000906205E0
2.598890580E2;5.111944870E1;7.405920569E0;3.031540856E2;1.079503372E-1;1.599739587E2;6.000906205E0;6.000906205E0
2.608890692E2;5.111944967E1;7.405926639E0;3.033448576E2;1.073439941E-1;1.662120524E2;6.000906205E0;6.000906205E0
2.618890810E2;5.111944920E1;7.405928744E0;3.033750036E2;1.362169813E-2;1.972001835E2;6.000906205E0;6.000906205E0
2.628890910E2;5.111944938E1;7.405930015E0;3.034052643E2;4.034396634E-2;2.352361137E2;6.000906205E0;6.000906205E0
2.638891027E2;5.111944896E1;7.405929333E0;3.034113116E2;2.113798261E-2;2.779633182E2;6.000906205E0;6.000906205E0
2.648891132E2;5.111945073E1;7.405935223E0;3.034197166E2;3.289647400E-1;2.893594615E2;6.000906205E0;6.000906205E0
2.658891240E2;5.111945429E1;7.405930508E0;3.034072362E2;3.289647400E-1;3.120406346E2;6.000906205E0;6.000906205E0
2.668891352E2;5.111945374E1;7.405925948E0;3.032717352E2;3.289647400E-1;2.791990361E2;6.000906205E0;6.000906205E0
2.678891467E2;5.111945408E1;7.405921097E0;3.032444797E2;3.963431120E-1;2.895933272E2;6.000906205E0;6.000906205E0
2.688891573E2;5.111945505E1;7.405914550E0;3.032005004E2;1.680782884E-1;3.066594291E2;6.000906205E0;6.000906205E0
2.698891685E2;5.111945434E1;7.405911176E0;3.031254330E2;8.053052425E-2;3.141647142E2;6.000906205E0;6.000906205E0
2.708891790E2;5.111945961E1;7.405894979E0;3.031167727E2;1.680782884E-1;8.920312433E1;6.000906205E0;6.000906205E0
2.718891900E2;5.111945596E1;7.405886118E0;3.028570962E2;2.009998411E-1;1.682800288E2;6.000906205E0;6.000906205E0
2.728892019E2;5.111945884E1;7.405889301E0;3.028802374E2;6.026202440E-1;1.548734193E2;6.000906205E0;6.000906205E0
2.738892126E2;5.111945802E1;7.405894948E0;3.028191330E2;6.026202440E-1;1.523763704E2;6.000906205E0;6.000906205E0
2.748892233E2;5.111945570E1;7.405896897E0;3.028736121E2;6.026202440E-1;1.316262557E2;6.000906205E0;6.000906205E0
2.758892350E2;5.111945211E1;7.405903927E0;3.029594525E2;5.422943830E-1;1.629364439E2;6.000906205E0;6.000906205E0
2.768892455E2;5.111944805E1;7.405912595E0;3.031183020E2;5.422943830E-1;1.708105182E2;6.000906205E0;6.000906205E0
2.778892561E2;5.111945225E1;7.405916980E0;3.033085126E2;4.609899223E-1;1.881147069E2;6.000906205E0;6.000906205E0
2.788892678E2;5.111945027E1;7.405916912E0;3.032335456E2;1.353961378E-1;2.172006030E2;6.000906205E0;6.000906205E0
2.798892789E2;5.111944814E1;7.405919362E0;3.032832876E2;1.033989936E-1;2.391904380E2;6.000906205E0;6.000906205E0
2.808892894E2;5.111944718E1;7.405919827E0;3.033663472E2;9.738461114E-3;2.426251762E2;6.000906205E0;6.000906205E0
2.818893012E2;5.111944748E1;7.405922929E0;3.034055796E2;4.508164525E-2;5.669689828E1;6.000906205E0;6.000906205E0
2.828893117E2;5.111945012E1;7.405922314E0;3.034210385E2;1.034215838E-1;2.443021789E2;6.000906205E0;6.000906205E0
2.838893217E2;5.111944962E1;7.405920268E0;3.033414504E2;2.594860271E-2;2.287491005E2;6.000906205E0;6.000906205E0
2.848893338E2;5.111944940E1;7.405920029E0;3.033349747E2;4.658086970E-2;2.670181313E2;6.000906205E0;6.000906205E0
2.858893449E2;5.111944915E1;7.405919665E0;3.033392436E2;6.883037277E-3;3.344971492E2;6.000906205E0;6.000906205E0
2.868893554E2;5.111944867E1;7.405916645E0;3.033445593E2;1.071272977E-2;1.706108581E2;6.000906205E0;6.000906205E0
2.878893664E2;5.111944995E1;7.405911359E0;3.033393780E2;2.030339837E-1;1.783977656E2;6.000906205E0;6.000906205E0
2.888893770E2;5.111944915E1;7.405904235E0;3.032674213E2;2.288902551E-1;1.946949384E2;6.000906205E0;6.000906205E0
2.898893883E2;5.111944797E1;7.405903510E0;3.032372917E2;9.687228501E-2;1.382975201E2;6.000906205E0;6.000906205E0
2.908893992E2;5.111944421E1;7.405903164E0;3.032641066E2;2.288902551E-1;2.059471833E2;6.000906205E0;6.000906205E0
2.918894107E2;5.111943924E1;7.405905559E0;3.033710758E2;3.031505346E-1;1.673760942E2;6.000906205E0;6.000906205E0
2.928894213E2;5.111943831E1;7.405916214E0;3.034777108E2;3.031505346E-1;1.496368635E2;6.000906205E0;6.000906205E0
2.938894318E2;5.111943640E1;7.405921751E0;3.035725571E2;9.348957986E-2;1.384680835E2;6.000906205E0;6.000906205E0
2.948894435E2;5.111943360E1;7.405923872E0;3.036488111E2;2.351087183E-1;1.661603069E2;6.000906205E0;6.000906205E0
2.958894541E2;5.111942864E1;7.405930592E0;3.037155704E2;3.112561107E-1;2.408544087E2;6.000906205E0;6.000906205E0
2.968894651E2;5.111942897E1;7.405937937E0;3.038460897E2;3.132832944E-1;2.756129682E2;6.000906205E0;6.000906205E0
2.978894767E2;5.111942943E1;7.405935590E0;3.039014390E2;2.242968045E-2;2.873139019E2;6.000906205E0;6.000906205E0
2.988894873E2;5.111943024E1;7.405936639E0;3.038842323E2;3.867511451E-2;3.069944909E2;6.000906205E0;6.000906205E0
2.998894980E2;5.111943111E1;7.405937992E0;3.038762219E2;2.588556707E-2;2.881199461E2;6.000906205E0;6.000906205E0
3.008895093E2;5.111943111E1;7.405937744E0;3.038701474E2;2.532369643E-2;2.896927201E2;6.000906205E0;6.000906205E0
3.018895206E2;5.111943137E1;7.405937674E0;3.038678646E2;1.497620810E-2;3.171401632E2;6.000906205E0;6.000906205E0
3.028895315E2;5.111943119E1;7.405936401E0;3.038631044E2;1.147560030E-2;3.298308732E2;6.000906205E0;6.000906205E0
3.038895429E2;5.111943363E1;7.405932420E0;3.038571627E2;3.777818382E-1;8.316104337E1;6.000906205E0;6.000906205E0
3.048895534E2;5.111943515E1;7.405940681E0;3.037913372E2;6.041533947E-1;1.297703567E2;6.000906205E0;6.000906205E0
3.058895648E2;5.111943787E1;7.405940375E0;3.038135938E2;5.656397939E-1;1.560229128E2;6.000906205E0;6.000906205E0
3.068895758E2;5.111943756E1;7.405938825E0;3.037698691E2;5.656397939E-1;1.700819283E2;6.000906205E0;6.000906205E0
3.078895868E2;5.111944153E1;7.405949980E0;3.037603606E2;4.059000015E-1;1.647031543E2;6.000906205E0;6.000906205E0
3.088895979E2;5.111944116E1;7.405957648E0;3.037673473E2;4.861205816E-1;1.538502160E2;6.000906205E0;6.000906205E0
3.098896085E2;5.111943642E1;7.405955765E0;3.038238016E2;4.552727938E-1;1.449797537E2;6.000906205E0;6.000906205E0
3.108896194E2;5.111943900E1;7.405955726E0;3.038939917E2;4.552727938E-1;1.671338684E2;6.000906205E0;6.000906205E0
3.118896313E2;5.111943594E1;7.405956659E0;3.038590704E2;2.293018848E-1;2.009615141E2;6.000906205E0;6.000906205E0
3.128896416E2;5.111944118E1;7.405949612E0;3.039111416E2;1.047384739E-1;2.432600013E2;6.000906205E0;6.000906205E0
