"Time (s)";"X (hPa)"
1.038841166E2;9.925346375E2
1.048288926E2;9.925346375E2
1.057736806E2;9.925345612E2
1.067185166E2;9.925271606E2
1.076633216E2;9.925337219E2
1.086081586E2;9.925337219E2
1.095529836E2;9.925337219E2
1.104978186E2;9.925320435E2
1.114426976E2;9.925317383E2
1.123875766E2;9.925315094E2
1.133325056E2;9.925315094E2
1.142774016E2;9.925283051E2
1.152225096E2;9.925244904E2
1.161675966E2;9.925198364E2
1.171126546E2;9.925158691E2
1.180576736E2;9.925154114E2
1.190026886E2;9.925112915E2
1.199478306E2;9.925128937E2
1.208929256E2;9.925111389E2
1.218379116E2;9.925111389E2
1.227829296E2;9.925035095E2
1.237279506E2;9.924987793E2
1.246730306E2;9.924981689E2
1.256182296E2;9.924971771E2
1.265633276E2;9.924917603E2
1.275083416E2;9.924916077E2
1.284534166E2;9.924914551E2
1.293984626E2;9.924852753E2
1.303436326E2;9.924852753E2
1.312887176E2;9.924854279E2
1.322338716E2;9.924902344E2
1.331789696E2;9.924902344E2
1.341240826E2;9.924874878E2
1.350691876E2;9.924861145E2
1.360143906E2;9.924861145E2
1.369596186E2;9.924861145E2
1.379048246E2;9.924861145E2
1.388502036E2;9.924888611E2
1.397955796E2;9.924887085E2
1.407409636E2;9.924888611E2
1.416862666E2;9.924960327E2
1.426315016E2;9.924960327E2
1.435768756E2;9.924950409E2
1.445223116E2;9.924927521E2
1.454676026E2;9.924950409E2
1.464129236E2;9.924956512E2
1.473583056E2;9.924956512E2
1.483036466E2;9.924860382E2
1.492490796E2;9.924835968E2
1.501944106E2;9.924860382E2
1.511398646E2;9.924919128E2
1.520853386E2;9.924919128E2
1.530307616E2;9.924757385E2
1.539762966E2;9.924728394E2
1.549217656E2;9.924584198E2
1.558673336E2;9.924510956E2
1.568130496E2;9.924493408E2
1.577588346E2;9.924353027E2
1.587044306E2;9.924288177E2
1.596500656E2;9.924246216E2
1.605956926E2;9.924246216E2
1.615412796E2;9.924355316E2
1.624869386E2;9.924373627E2
1.634324446E2;9.924373627E2
1.643780146E2;9.924363708E2
1.653236426E2;9.924320984E2
1.662693356E2;9.924320984E2
1.672150266E2;9.924320984E2
1.681606766E2;9.924204254E2
1.691062916E2;9.924190521E2
1.700519816E2;9.924204254E2
1.709976706E2;9.924247742E2
1.719433026E2;9.924266815E2
1.728889646E2;9.924308014E2
1.738347496E2;9.924266815E2
1.747804606E2;9.924312592E2
1.757261276E2;9.924355316E2
1.766717816E2;9.924362183E2
1.776175046E2;9.924362183E2
1.785632136E2;9.924343109E2
1.795089536E2;9.924343109E2
1.804547586E2;9.924311829E2
1.814006256E2;9.924311829E2
1.823464526E2;9.924310303E2
1.832922556E2;9.924272919E2
1.842381546E2;9.924214172E2
1.851839966E2;9.924135590E2
1.861298726E2;9.924005890E2
1.870757856E2;9.923956299E2
1.880216576E2;9.923902130E2
1.889674966E2;9.923902130E2
1.899134276E2;9.923919678E2
1.908593696E2;9.923947906E2
1.918052506E2;9.923970032E2
1.927511896E2;9.923970032E2
1.936971816E2;9.924005127E2
1.946430716E2;9.924121857E2
1.955890246E2;9.924121857E2
1.965350506E2;9.924049377E2
1.974810436E2;9.924047852E2
1.984270346E2;9.924049377E2
1.993730636E2;9.924052429E2
2.003190206E2;9.924052429E2
2.012650286E2;9.924065399E2
2.022110476E2;9.924004364E2
2.031571066E2;9.924044037E2
2.041031896E2;9.924044037E2
2.050492366E2;9.924044037E2
2.059953476E2;9.924010468E2
