"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
1.155306292E0;1.412100434E0;2.100821257E0;-2.550135374E0
1.165316292E0;1.215077400E0;1.299691081E0;-2.763088703E0
1.175295292E0;9.865088463E-1;9.450267553E-1;-2.714586020E0
1.185305292E0;1.485183597E0;3.496722877E-1;-1.634092093E0
1.195315292E0;1.414375305E0;3.682755530E-1;-1.295357943E0
1.205325292E0;9.793010950E-1;5.883280039E-1;-1.242352247E0
1.215304292E0;7.292196155E-1;7.853449583E-1;-1.131704330E0
1.225314292E0;6.577353477E-1;1.120631337E0;-1.094040036E0
1.235324292E0;6.745108366E-1;1.317634106E0;-1.190579891E0
1.245333292E0;5.848486423E-1;1.318292975E0;-1.310542822E0
1.255313292E0;3.305830359E-1;1.017673016E0;-1.364604473E0
1.265322292E0;-3.605354577E-2;3.085008860E-1;-1.243359447E0
1.275332292E0;-3.344559371E-1;-6.372294426E-1;-9.835079908E-1
1.285342292E0;-4.405230880E-1;-1.508627772E0;-7.895527482E-1
1.295321292E0;-3.198268712E-1;-2.263469219E0;-7.256870866E-1
1.305331292E0;-8.823943138E-2;-2.740762472E0;-6.618434191E-1
1.315341292E0;1.766503751E-1;-2.863296270E0;-4.856820703E-1
1.325350292E0;3.602023721E-1;-2.557834148E0;-1.808297634E-1
1.335360292E0;3.128952384E-1;-2.182155848E0;2.247914374E-1
1.345339292E0;1.136090457E-1;-2.008953810E0;6.246168613E-1
1.355349292E0;-1.368814111E-1;-2.065916300E0;9.136603475E-1
1.365359292E0;-3.768569827E-1;-2.255892515E0;1.111082554E0
1.375369292E0;-5.484417081E-1;-2.508226156E0;1.249483943E0
1.385348292E0;-6.527465582E-1;-2.689810038E0;1.339731812E0
1.395358292E0;-7.004544735E-1;-2.753498554E0;1.443133831E0
1.405368292E0;-6.203074455E-1;-2.709111929E0;1.565172911E0
1.415377292E0;-5.995993018E-1;-2.412444592E0;1.622004628E0
1.425357292E0;-7.151355147E-1;-1.929789424E0;1.547505617E0
1.435366292E0;-6.004000902E-1;-1.479727387E0;1.373435259E0
1.445376292E0;-2.093931586E-1;-1.021389127E0;1.179568887E0
1.455386292E0;-9.679535031E-2;-2.510995567E-1;9.253059626E-1
1.465365292E0;8.913324773E-2;2.154753655E-1;6.743270159E-1
1.475375292E0;2.261173278E-1;5.383472443E-1;4.577053487E-1
1.485396375E0;1.950268000E-1;7.300596833E-1;2.446764261E-1
1.495405375E0;1.067992374E-1;7.248415351E-1;9.404597431E-2
1.505385375E0;5.048536137E-2;5.555712581E-1;9.027493745E-2
1.515394375E0;-2.132271528E-1;3.450731635E-1;1.530120969E-1
1.525404375E0;-5.025987625E-1;8.628766984E-2;2.421334535E-1
1.535414375E0;-6.089107990E-1;-1.303708851E-1;3.405502439E-1
1.545424375E0;-5.542209744E-1;-1.545105875E-1;3.856607378E-1
1.555403375E0;-3.894827068E-1;2.346475050E-2;3.058952689E-1
1.565413375E0;-2.894437313E-1;4.110795856E-1;1.266147196E-1
1.575422375E0;-2.421397269E-1;8.245587349E-1;-6.775215268E-3
