"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
3.109020042E0;1.238832325E-1;-6.936302185E-1;9.601035714E-1
3.119030042E0;3.858627751E-2;-4.764494002E-1;8.575805426E-1
3.129040042E0;-1.786980778E-2;-1.292989105E-1;8.031814694E-1
3.139049042E0;-1.362300068E-1;4.048412144E-1;8.534065485E-1
3.149083750E0;-2.550503910E-1;8.022412658E-1;8.766410351E-1
3.159062750E0;-2.874436378E-1;9.850260615E-1;8.791618943E-1
3.169072750E0;-2.294698358E-1;1.053937197E0;9.026176929E-1
3.179082750E0;-1.392640471E-1;1.014943480E0;8.947808146E-1
3.189092750E0;-4.020536691E-2;8.274798393E-1;8.667829633E-1
3.199071750E0;4.572103173E-2;6.034368277E-1;8.050801158E-1
3.209081750E0;1.189606264E-1;3.352530301E-1;6.458678246E-1
3.219090750E0;4.496649653E-2;3.105225861E-1;4.556819797E-1
3.229100750E0;-1.454846859E-1;6.015360355E-1;8.314622641E-1
3.239110750E0;-5.634623393E-2;5.739341378E-1;7.051768303E-1
3.249089750E0;3.457978368E-3;5.823574066E-1;5.291551948E-1
3.259099750E0;-6.805490702E-2;7.839759588E-1;8.371372819E-1
3.269109750E0;-1.267720163E-1;1.035015702E0;1.009940147E0
3.279119750E0;-1.199491620E-1;1.307886958E0;1.192660332E0
3.289128750E0;-2.002240121E-1;1.708026886E0;1.252732992E0
3.299108750E0;-2.989684641E-1;1.801262259E0;1.299664259E0
3.309117750E0;-3.379406333E-1;1.851259112E0;1.342541337E0
3.319127750E0;-2.293723077E-1;1.546569109E0;1.355403900E0
3.329137750E0;-1.096280739E-1;1.164727807E0;1.349467754E0
3.339116750E0;-1.523994058E-1;8.732188940E-1;1.200926423E0
3.349126750E0;-2.720842659E-1;6.163359880E-1;9.031251669E-1
3.359136750E0;-3.667902946E-1;3.957851529E-1;7.399258614E-1
3.369145750E0;-3.603259921E-1;2.666735053E-1;6.745407581E-1
3.379155750E0;-2.020787448E-1;2.479734123E-1;5.641427636E-1
3.389134750E0;5.010716245E-2;1.956556141E-1;4.525587261E-1
3.399144750E0;2.733270228E-1;1.601094902E-1;3.291411698E-1
3.409154750E0;3.941354454E-1;6.325857341E-2;1.625902802E-1
3.419164750E0;3.581866026E-1;-1.134690270E-1;2.201436460E-2
3.429143750E0;1.678491682E-1;-2.985957265E-1;-8.845542371E-2
3.439153750E0;-2.239197493E-2;-4.743034542E-1;-1.502436996E-1
3.449162750E0;-1.574725658E-1;-5.700092316E-1;-1.845609397E-1
3.459172750E0;-2.298104912E-1;-5.294150114E-1;-2.230651379E-1
3.469182750E0;-2.632502019E-1;-4.621164203E-1;-2.468343824E-1
3.479161750E0;-2.579796612E-1;-2.216945291E-1;-2.774296999E-1
3.489171750E0;-1.783729792E-1;-1.706309989E-2;-3.390067816E-1
3.499181750E0;-1.040604338E-1;1.346822735E-2;-4.173169732E-1
3.509191750E0;-7.044441998E-2;-9.224595129E-2;-4.868704677E-1
3.519200750E0;-5.780119449E-2;-2.987210751E-1;-5.256477594E-1
3.529180750E0;-1.183335185E-1;-4.297672510E-1;-4.004967511E-1
3.539189750E0;-1.751746833E-1;-5.498638749E-1;-2.718617320E-1
3.549199750E0;-1.402537078E-1;-5.360699892E-1;-2.088262886E-1
3.559209750E0;-6.533142924E-2;-3.581276834E-1;-1.679261476E-1
3.569188750E0;-4.911464080E-2;-1.554837525E-1;-8.583074808E-2
3.579198750E0;-8.649941534E-2;-4.976548254E-3;2.940375358E-2
3.589208750E0;-1.178639978E-1;2.528095618E-2;4.376138747E-2
3.599217750E0;-1.041013002E-1;-6.949856877E-2;1.597912423E-2
3.609227750E0;-7.779406011E-2;-2.233754843E-1;-8.788540028E-3
3.619206750E0;-6.157156080E-2;-2.947151661E-1;-3.951490857E-3
3.629216750E0;-4.047346860E-2;-1.967731714E-1;-9.053573944E-3
3.639226750E0;-3.145029768E-2;-7.679798454E-2;-7.126395591E-3
3.649236750E0;-3.713215142E-2;-9.738788940E-3;-4.763905890E-3
3.659245750E0;-5.906222016E-2;-1.058780495E-2;-7.718416862E-3
3.669225750E0;-6.289237738E-2;-7.016458362E-2;-1.262262743E-2
3.679234750E0;-4.220743477E-2;-1.309544891E-1;-7.584207691E-3
3.689244750E0;-2.514243126E-2;-1.287488639E-1;-2.200016752E-2
3.699254750E0;-2.375081740E-2;-1.576739550E-1;-2.419449203E-2
3.709233750E0;-3.534542024E-2;-1.551101208E-1;-2.118165977E-2
3.719243750E0;-6.271374226E-2;-1.607028544E-1;-1.404803339E-2
3.729253750E0;-8.559855074E-2;-2.282494009E-1;-9.311600588E-3
3.739263750E0;-8.382237703E-2;-2.835184038E-1;-3.103759885E-2
3.749272750E0;-7.906784117E-2;-2.789409459E-1;-4.815506935E-2
3.759252750E0;-8.574244380E-2;-2.435520738E-1;-6.777062267E-2
3.769261750E0;-9.590107203E-2;-2.797976732E-1;-7.010488212E-2
3.779271750E0;-7.287508249E-2;-2.462730706E-1;-6.190320849E-2
3.789281750E0;-6.441874802E-2;-2.055264413E-1;-4.783665761E-2
3.799260750E0;-5.075969547E-2;-1.445253342E-1;1.640594378E-2
3.809270750E0;-4.485546798E-2;-9.716261178E-2;2.761678584E-2
3.819280750E0;-4.951250181E-2;-6.447210908E-2;1.084077172E-2
3.829289750E0;-8.335009962E-2;-7.686992735E-2;-2.259894460E-2
3.839299750E0;-1.312997341E-1;-1.674179733E-1;-2.540944517E-2
3.849278750E0;-1.396391541E-1;-2.396370471E-1;-1.178364549E-2
3.859288750E0;-1.126330718E-1;-8.867052943E-2;3.065387160E-2
3.869298750E0;-1.006877348E-1;8.988828957E-2;3.320837393E-2
3.879308750E0;-9.757951647E-2;2.376821935E-1;-3.711157478E-3
3.889317750E0;-8.013421297E-2;2.628687620E-1;-1.980837062E-2
3.899297750E0;-2.489435300E-2;1.809602380E-1;-5.727401935E-3
3.909306750E0;1.592231914E-2;9.138423949E-3;-1.152243931E-2
3.919316750E0;1.165859681E-2;-8.090544492E-2;4.319373518E-3
3.929326750E0;3.498069569E-2;-1.504504383E-1;9.504814632E-3
3.939305750E0;5.751126260E-2;-1.688743830E-1;-5.374690518E-4
3.949315750E0;6.455133110E-2;-2.096007764E-1;2.308290452E-2
3.959325750E0;6.281361729E-2;-2.077661157E-1;2.995572612E-2
3.969335750E0;8.157212287E-2;-2.142442465E-1;4.044458643E-2
3.979344750E0;1.021969765E-1;-2.404311299E-1;4.183075950E-2
