"Time (s)";"X (hPa)"
1.830869855E2;9.895791626E2
1.840373005E2;9.895739746E2
1.849876595E2;9.895601654E2
1.859379985E2;9.895329285E2
1.868883565E2;9.894957733E2
1.878387795E2;9.894630432E2
1.887891575E2;9.894284058E2
1.897396895E2;9.893984985E2
1.906901975E2;9.893785095E2
1.916406915E2;9.893744659E2
1.925911745E2;9.893744659E2
1.935416835E2;9.893873596E2
1.944923045E2;9.894110107E2
1.954430185E2;9.894416809E2
1.963935885E2;9.894779968E2
1.973443095E2;9.895138550E2
1.982950625E2;9.895439911E2
1.992458225E2;9.895648956E2
2.001966495E2;9.895648956E2
2.011474045E2;9.895636749E2
2.020981915E2;9.895534515E2
2.030491245E2;9.895249939E2
2.040000925E2;9.894906616E2
2.049509975E2;9.894604492E2
2.059019685E2;9.894200897E2
2.068529045E2;9.893910980E2
2.078038015E2;9.893704224E2
2.087547935E2;9.893608093E2
2.097057925E2;9.893608093E2
2.106568215E2;9.893776703E2
2.116078235E2;9.894009399E2
2.125588265E2;9.894381714E2
2.135097605E2;9.894758606E2
2.144607245E2;9.895101929E2
2.154117515E2;9.895431519E2
2.163628385E2;9.895611572E2
2.173139915E2;9.895637512E2
2.182651245E2;9.895637512E2
2.192162185E2;9.895576477E2
2.201672645E2;9.895376587E2
2.211183905E2;9.895075989E2
2.220694085E2;9.894794464E2
2.230204375E2;9.894464874E2
2.239715715E2;9.894196320E2
2.249226335E2;9.894001770E2
2.258737245E2;9.893919373E2
2.268248965E2;9.893919373E2
2.277761165E2;9.894036102E2
2.287272645E2;9.894232178E2
2.296782675E2;9.894602966E2
2.306292655E2;9.894973755E2
2.315802925E2;9.895299530E2
2.325313825E2;9.895594025E2
2.334824085E2;9.895809174E2
2.344335565E2;9.895867157E2
2.353847625E2;9.895867157E2
2.363359465E2;9.895763397E2
2.372873115E2;9.895462799E2
2.382390415E2;9.895220184E2
2.391909495E2;9.894846344E2
2.401428845E2;9.894586182E2
2.410947855E2;9.894350433E2
2.420467625E2;9.894113922E2
2.429986565E2;9.893977356E2
2.439505885E2;9.893977356E2
2.449025815E2;9.894001007E2
2.458546995E2;9.894281006E2
2.468067145E2;9.894604492E2
2.477587535E2;9.894938660E2
2.487108255E2;9.895251465E2
2.496628885E2;9.895603180E2
2.506149605E2;9.895815277E2
2.515670315E2;9.895896149E2
2.525191895E2;9.895896149E2
2.534713015E2;9.895834351E2
2.544234485E2;9.895563507E2
2.553756235E2;9.895192719E2
2.563276895E2;9.894858551E2
2.572798065E2;9.894464874E2
2.582318285E2;9.894140625E2
2.591839015E2;9.893912506E2
2.601357485E2;9.893777466E2
2.610876595E2;9.893777466E2
2.620394805E2;9.893841553E2
2.629913945E2;9.893930054E2
2.639433125E2;9.894272614E2
2.648952345E2;9.894580841E2
2.658471995E2;9.894815826E2
2.667992665E2;9.895119476E2
2.677514185E2;9.895529175E2
2.687035915E2;9.895745850E2
2.696557935E2;9.895745850E2
2.706080475E2;9.895734406E2
2.715603605E2;9.895600128E2
2.725126745E2;9.895222473E2
2.734649535E2;9.895053864E2
2.744172705E2;9.894786072E2
2.753695835E2;9.894420624E2
2.763220155E2;9.894120789E2
2.772743985E2;9.893872833E2
2.782268985E2;9.893847656E2
2.791793405E2;9.893847656E2
2.801318235E2;9.894023895E2
2.810844575E2;9.894321442E2
2.820371145E2;9.894582367E2
2.829898545E2;9.894871521E2
2.839427015E2;9.895200348E2
2.848955215E2;9.895590210E2
2.858484255E2;9.895824432E2
2.868012495E2;9.895912933E2
2.877541815E2;9.895912933E2
2.887069485E2;9.895790100E2
2.896596305E2;9.895471954E2
2.906123045E2;9.895318604E2
2.915648745E2;9.895000458E2
2.925175315E2;9.894642639E2
2.934702215E2;9.894332886E2
2.944229275E2;9.894017792E2
2.953757535E2;9.894007111E2
2.963285355E2;9.894007111E2
2.972813575E2;9.894155121E2
2.982342215E2;9.894454956E2
2.991872085E2;9.894701385E2
3.001401625E2;9.895011139E2
3.010933205E2;9.895298767E2
3.020467485E2;9.895674896E2
3.030001295E2;9.895773315E2
3.039535065E2;9.895786285E2
3.049066685E2;9.895786285E2
3.058598245E2;9.895574188E2
3.068130425E2;9.895240784E2
3.077662385E2;9.894992828E2
3.087194745E2;9.894640350E2
3.096728245E2;9.894268799E2
3.106259955E2;9.893962860E2
3.115793135E2;9.893653870E2
3.125327495E2;9.893621826E2
3.134861915E2;9.893621826E2
3.144396965E2;9.893762207E2
3.153933745E2;9.893981934E2
3.163470575E2;9.894263458E2
3.173008165E2;9.894581604E2
3.182546555E2;9.894902039E2
3.192082745E2;9.895241547E2
3.201618955E2;9.895546722E2
3.211155665E2;9.895689392E2
3.220691685E2;9.895689392E2
3.230227295E2;9.895590973E2
3.239763535E2;9.895351410E2
3.249300845E2;9.894958496E2
3.258837275E2;9.894729614E2
3.268374575E2;9.894571686E2
3.277912785E2;9.894168091E2
3.287450515E2;9.893949127E2
3.296988325E2;9.893763733E2
3.306526425E2;9.893705750E2
3.316065425E2;9.893705750E2
3.325604365E2;9.893979645E2
3.335142405E2;9.894292450E2
3.344682235E2;9.894636536E2
3.354222295E2;9.894954681E2
3.363762415E2;9.895192719E2
3.373302365E2;9.895485687E2
3.382842985E2;9.895729065E2
3.392383495E2;9.895729065E2
3.401923255E2;9.895726013E2
3.411464035E2;9.895577240E2
3.421004855E2;9.895305634E2
3.430546545E2;9.894917297E2
3.440088085E2;9.894729614E2
3.449630705E2;9.894521332E2
