"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
5.907885218E1;5.111946945E1;7.405937575E0;3.028023589E2;4.670348465E-1;3.362563600E2;6.000906205E0;6.000906205E0
6.007887876E1;5.111947248E1;7.405939252E0;3.028148882E2;4.670348465E-1;3.266426229E2;6.000906205E0;6.000906205E0
6.107890475E1;5.111947083E1;7.405933609E0;3.027386601E2;3.342091739E-1;3.188365089E2;6.000906205E0;6.000906205E0
6.207893157E1;5.111947153E1;7.405931646E0;3.027424630E2;9.183254093E-2;3.361771845E2;6.000906205E0;6.000906205E0
6.307895803E1;5.111947455E1;7.405934682E0;3.027098020E2;4.226586223E-1;5.433772704E1;6.000906205E0;6.000906205E0
6.407898486E1;5.111947415E1;7.405941997E0;3.026382283E2;1.058515981E-1;8.850636308E1;6.000906205E0;6.000906205E0
6.507901073E1;5.111947071E1;7.405938889E0;3.026900401E2;4.642444476E-2;9.195571789E1;6.000906205E0;6.000906205E0
6.607903767E1;5.111947162E1;7.405935211E0;3.027753116E2;8.598060906E-2;2.753377935E2;6.000906205E0;6.000906205E0
6.707906401E1;5.111947103E1;7.405932934E0;3.027334664E2;1.150055230E-1;1.363967604E2;6.000906205E0;6.000906205E0
6.807909107E1;5.111946572E1;7.405933207E0;3.027318363E2;3.166632056E-1;1.848062315E2;6.000906205E0;6.000906205E0
6.907911718E1;5.111946215E1;7.405929605E0;3.028881460E2;2.121147364E-1;1.774140817E2;6.000906205E0;6.000906205E0
7.007914436E1;5.111945945E1;7.405928729E0;3.029848012E2;3.166632056E-1;2.433811142E2;6.000906205E0;6.000906205E0
7.107916999E1;5.111945419E1;7.405917249E0;3.030673884E2;4.585921466E-1;2.509150041E2;6.000906205E0;6.000906205E0
7.207919729E1;5.111945117E1;7.405914382E0;3.031546663E2;2.355178595E-1;2.730467022E2;6.000906205E0;6.000906205E0
7.307922339E1;5.111945295E1;7.405923626E0;3.032329101E2;6.595362723E-2;2.805642816E2;6.000906205E0;6.000906205E0
7.407925034E1;5.111945502E1;7.405929107E0;3.032487545E2;4.785046726E-2;3.149837632E2;6.000906205E0;6.000906205E0
7.507927680E1;5.111945627E1;7.405932000E0;3.032254000E2;3.149811327E-1;3.220822422E2;6.000906205E0;6.000906205E0
7.607930338E1;5.111945930E1;7.405929254E0;3.032053491E2;1.038662810E-2;3.095053777E2;6.000906205E0;6.000906205E0
7.707932973E1;5.111945952E1;7.405930810E0;3.030972435E2;4.890034720E-2;2.996985648E2;6.000906205E0;6.000906205E0
7.807935619E1;5.111945993E1;7.405930828E0;3.030901134E2;2.035380714E-2;3.107109607E2;6.000906205E0;6.000906205E0
7.907938302E1;5.111946006E1;7.405930090E0;3.030773978E2;1.766772941E-2;3.110435636E2;6.000906205E0;6.000906205E0
8.007940912E1;5.111946112E1;7.405930241E0;3.030677766E2;1.480313297E-2;3.310597608E2;6.000906205E0;6.000906205E0
8.107943606E1;5.111946191E1;7.405931307E0;3.030368218E2;9.918740951E-3;9.372952485E0;6.000906205E0;6.000906205E0
8.207946301E1;5.111946287E1;7.405931785E0;3.030175490E2;8.530278504E-2;3.598803178E2;6.000906205E0;6.000906205E0
8.307948923E1;5.111946378E1;7.405931890E0;3.029907651E2;3.897567280E-3;1.490345036E0;6.000906205E0;6.000906205E0
8.407951581E1;5.111946410E1;7.405932313E0;3.029623238E2;2.554270253E-2;3.317927289E1;6.000906205E0;6.000906205E0
8.507954216E1;5.111946437E1;7.405933601E0;3.029528055E2;2.094994299E-2;3.497567412E1;6.000906205E0;6.000906205E0
8.607956886E1;5.111946407E1;7.405934084E0;3.029522656E2;3.834782168E-2;3.290718206E2;6.000906205E0;6.000906205E0
8.707959521E1;5.111946215E1;7.405935620E0;3.029642417E2;1.864899546E-1;1.505266288E1;6.000906205E0;6.000906205E0
8.807962215E1;5.111946357E1;7.405937444E0;3.030311101E2;1.554784775E-1;8.339647316E1;6.000906205E0;6.000906205E0
8.907964897E1;5.111946360E1;7.405940238E0;3.030084085E2;1.864899546E-1;5.257970123E1;6.000906205E0;6.000906205E0
9.007967484E1;5.111946534E1;7.405943277E0;3.030233045E2;2.189526856E-1;2.440288279E1;6.000906205E0;6.000906205E0
9.107970130E1;5.111946669E1;7.405944190E0;3.029938675E2;1.657035947E-1;3.421281712E1;6.000906205E0;6.000906205E0
9.207972789E1;5.111946788E1;7.405945857E0;3.029573606E2;1.075845361E-1;5.435507230E1;6.000906205E0;6.000906205E0
9.307975554E1;5.111946863E1;7.405946430E0;3.029299520E2;1.063508540E-1;3.003984133E1;6.000906205E0;6.000906205E0
9.407978165E1;5.111946945E1;7.405946742E0;3.029088914E2;1.341321170E-1;3.522127406E1;6.000906205E0;6.000906205E0
