"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
1.960157750E0;2.273343205E-1;-2.558953762E0;2.013143301E0
1.970137750E0;3.692061305E-1;-2.817123413E0;2.277917624E0
1.980146750E0;4.836181998E-1;-3.124665976E0;2.608988523E0
1.990156750E0;6.233423948E-1;-3.523989201E0;2.888314486E0
2.000166750E0;7.483399510E-1;-3.904727936E0;2.975890875E0
2.010145750E0;7.451829314E-1;-4.238274574E0;2.969222069E0
2.020155750E0;6.481413245E-1;-4.334724426E0;2.997099161E0
2.030165750E0;5.488148332E-1;-4.146935940E0;3.114168406E0
2.040144750E0;4.584827721E-1;-3.733990192E0;3.297711372E0
2.050154750E0;3.800022304E-1;-3.302585363E0;3.527199268E0
2.060163750E0;3.045343757E-1;-2.894872189E0;3.736363649E0
2.070143750E0;2.040175200E-1;-2.509439230E0;3.877915144E0
2.080153750E0;8.221945912E-2;-2.264786482E0;3.765750408E0
2.090162750E0;4.189053178E-2;-2.035833597E0;3.427026510E0
2.100172750E0;1.042231470E-1;-1.737227082E0;3.161738634E0
2.110151750E0;1.779990643E-1;-1.508685470E0;3.007234335E0
2.120161750E0;2.323246151E-1;-1.437252879E0;2.909073830E0
2.130186875E0;2.369825393E-1;-1.543370247E0;2.881860018E0
2.140165875E0;2.044767886E-1;-1.597871661E0;2.970101118E0
2.150175875E0;1.547287256E-1;-1.450154901E0;3.020443439E0
2.160185875E0;7.860733569E-2;-1.114674926E0;2.953974485E0
2.170164875E0;-3.231373429E-2;-6.691901088E-1;2.752822161E0
2.180174875E0;-1.222593337E-1;-2.670900822E-1;2.448654890E0
2.190183875E0;-1.929035485E-1;-1.013465449E-1;2.097625494E0
2.200193875E0;-2.830720544E-1;-1.751547307E-1;1.768334031E0
2.210172875E0;-3.894381225E-1;-3.351768851E-1;1.481176376E0
2.220182875E0;-4.594001472E-1;-3.677689135E-1;1.253443837E0
2.230192875E0;-5.168935061E-1;-1.724519432E-1;1.130780578E0
2.240171875E0;-6.174063087E-1;4.488672614E-1;1.127137184E0
2.250181875E0;-9.295370579E-1;1.209220529E0;1.096228480E0
2.260191875E0;-1.294197083E0;1.695787787E0;8.805158734E-1
2.270200875E0;-1.393584967E0;1.797908068E0;6.505534053E-1
2.280180875E0;-1.267246962E0;1.550719857E0;4.012112021E-1
2.290189875E0;-1.145719886E0;1.078804612E0;7.718162239E-2
2.300199875E0;-1.048321128E0;6.926948428E-1;-1.956941038E-1
2.310178875E0;-9.713093638E-1;4.325404167E-1;-3.070420325E-1
2.320188875E0;-8.922536969E-1;3.057752848E-1;-2.950516939E-1
2.330198875E0;-7.764595747E-1;2.216155678E-1;-2.208907157E-1
2.340177875E0;-6.347644925E-1;1.704439968E-1;-1.434257478E-1
2.350187875E0;-5.123726726E-1;1.298586726E-1;-9.391415119E-2
2.360197875E0;-3.997640908E-1;1.730855107E-1;-4.624649882E-2
2.370207875E0;-2.935369909E-1;2.397992909E-1;-2.048174664E-2
2.380186875E0;-2.358824909E-1;2.829427719E-1;2.824797481E-2
2.390196875E0;-2.496740222E-1;2.830545306E-1;6.490138918E-2
2.400205875E0;-2.773500979E-1;1.693892181E-1;1.150865257E-1
2.410185875E0;-2.276740223E-1;4.204450548E-2;2.201086134E-1
2.420194875E0;-3.438337520E-2;3.750568256E-2;3.102062941E-1
2.430204875E0;2.684074342E-1;-2.079989910E-1;1.821999252E-1
2.440214875E0;4.247749448E-1;-4.953951240E-1;1.522335112E-1
2.450193875E0;4.391459823E-1;-4.325644672E-1;2.808336020E-1
2.460203875E0;3.521237075E-1;-1.601262838E-1;3.895472884E-1
2.470213875E0;1.687294543E-1;1.703817993E-1;4.396906793E-1
2.480192875E0;-1.742789336E-2;3.021246493E-1;3.478366435E-1
2.490202875E0;-1.098966524E-1;3.596502841E-1;2.210188657E-1
2.500211875E0;-1.028246284E-1;3.593711853E-1;1.622711271E-1
2.510191875E0;-4.365558177E-2;2.190207243E-1;1.148199886E-1
2.520200875E0;1.013237089E-1;-1.350430697E-1;1.370083839E-1
2.530210875E0;3.544979990E-1;1.482788101E-2;2.781521082E-1
2.540220875E0;3.770062327E-1;7.858308963E-4;2.894351184E-1
2.550199875E0;2.930112481E-1;1.523469016E-2;2.510475814E-1
2.560209875E0;2.636152804E-1;9.893330932E-2;2.557435334E-1
2.570219875E0;2.985864580E-1;2.143823057E-1;2.288744003E-1
2.580198875E0;3.788088560E-1;3.253804445E-1;1.851458251E-1
2.590208875E0;4.042044282E-1;3.785107732E-1;1.090907529E-1
2.600218875E0;3.999548256E-1;3.884933591E-1;6.216452643E-2
2.610197875E0;2.475873828E-1;3.552630246E-1;1.274823546E-1
