"Time (s)"	"X (rad/s)"	"Y (rad/s)"	"Z (rad/s)"
2.595680375E0	-1.044866145E-1	4.139371812E-1	-6.959022880E-1
2.605689375E0	-6.059912033E-3	3.791802824E-1	-5.507370830E-1
2.615699375E0	9.032135457E-2	2.954887152E-1	-4.111486077E-1
2.625678375E0	1.672110707E-1	2.745589316E-1	-3.654322326E-1
2.635688375E0	1.681675911E-1	3.054792285E-1	-3.349888623E-1
2.645698375E0	7.181681693E-2	4.218543172E-1	-3.260145485E-1
2.655708375E0	-7.579076290E-2	5.748094916E-1	-3.732990026E-1
2.665687375E0	-1.767264307E-1	7.219917178E-1	-4.321665764E-1
2.675697375E0	-1.437433809E-1	6.937595606E-1	-4.587431848E-1
2.685707375E0	-1.850583777E-2	4.949516356E-1	-5.004416108E-1
2.695716375E0	1.149555221E-1	2.622743547E-1	-4.809927940E-1
2.705696375E0	1.693079770E-1	9.569017589E-2	-4.658407569E-1
2.715705375E0	1.256851852E-1	1.113247126E-4	-4.417381287E-1
2.725715375E0	4.445423931E-2	-1.709109917E-2	-3.847283721E-1
2.735725375E0	-5.004077218E-3	7.579849660E-2	-3.208474815E-1
2.745735375E0	-2.886813134E-2	2.602588832E-1	-2.632774115E-1
2.755750000E0	-2.823061682E-2	4.408953786E-1	-1.784716100E-1
2.765760000E0	-2.175940201E-2	5.569301248E-1	-1.338625997E-1
2.775769000E0	-6.679687649E-3	5.633012056E-1	-1.507315040E-1
2.785779000E0	-1.610328257E-2	4.933615327E-1	-2.141980976E-1
2.795758000E0	-1.255467162E-2	4.143890738E-1	-2.623282671E-1
2.805768000E0	8.160727099E-3	3.872354925E-1	-3.024106920E-1
2.815778000E0	6.399962306E-2	4.441840947E-1	-2.982761562E-1
2.825788000E0	1.252944171E-1	5.735931993E-1	-2.754896283E-1
2.835767000E0	1.762890667E-1	6.619036794E-1	-2.394283563E-1
2.845777000E0	1.795570254E-1	7.115191817E-1	-2.148995697E-1
2.855786000E0	1.164168268E-1	7.125065327E-1	-1.990177929E-1
2.865796000E0	3.177198023E-2	6.543577313E-1	-1.781556606E-1
2.875806000E0	-5.053192377E-2	5.552445650E-1	-2.055477053E-1
2.885785000E0	-3.093905188E-2	4.478776455E-1	-1.622295231E-1
2.895795000E0	1.001219824E-1	4.875667989E-1	-6.994924694E-2
2.905805000E0	2.429686189E-1	5.044496655E-1	-6.215151399E-2
2.915815000E0	4.149929583E-1	3.632503152E-1	-9.223069064E-3
2.925794000E0	4.236285388E-1	2.591369748E-1	2.544196695E-2
